,assessment_date,county,sub-county,location_type,households_in_location,households_departed,departure_date,1st_reason_for_departure,2nd_reason_for_departure,3rd_reason_for_departure,households_pastoralism_drop,pastoralism_drop_date,1st_reason_to_drop,2nd_reason_to_drop,3rd_reason_to_drop,households_arrived,arrival_date,country_arrived_from,sub-county_arrived_from,1st_reason_for_departure_from_origin,2nd_reason_for_departure_from_origin,3rd_reason_for_departure_from_origin,households_returned,country_returned_from,sub-county_returned_from,1st_reason_for_returning,2nd_reason_for_returning,livelihood_1,households_livelihood_1,livelihood_2,households_livelihood_2,livelihood_3,households_livelihood_3,1st_challenge,2nd_challenge,3rd_challenge,1st_health_concern,2nd_health_concern,3rd_health_concern,functional_watersources,watersource_distance,water_queue_time,percent_drinkingwater_access,percent_cookingwater_access,educational_facility,students,school_dropouts,safety_concerns
34,2022-11-24,Marsabit,Marsabit South,Sub Location Village Unit,321,0,2020 To 2022,Other,Other,Other,4,2020 To 2022,Drought,Banditry,Other,0,2020 To 2022,Other,Other,Other,Other,Other,2,Other,Other,Other,Other,Pastoralism,200,Trade,52,Employment (Includes Public And Private Sectors),10,Lack Of Access To Essential Services,Environmental Challenges,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,10,10,50,25,No,99,10,Lack Of Basic Services Water Electricity Etc
35,2022-11-25,Marsabit,Dukana,Sub Location Village Unit,493,30,2020 To 2022,Drought,Other,Other,33,2020 To 2022,Drought,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,15,Ethiopia,Other,Wanted Or Needed To Rejoin Family,Other,Pastoralism,480,Trade,10,Other,3,Environmental Challenges,No Additional Challenge,No Additional Challenge,Malaria,Pneumonia,Typhoid,8,38,50,75,75,Yes,16,0,Weather
36,2022-11-25,Marsabit,Saku,Sub Location Village Unit,270,5,Before 2020,Drought,Resource-Based Conflict,Other,0,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,2,Kenya,Saku,Have Not Found Assistance,Other,Pastoralism,200,Trade,50,Farming,10,Environmental Challenges,Lack Of Food And Water,Safety And Security,Pneumonia,Diarrhea,Malaria,1,50,50,25,25,No,100,12,Lack Of Basic Services Water Electricity Etc
37,2022-11-25,Marsabit,Saku,Sub Location Village Unit,1200,20,2020 To 2022,Ethnic Clashes,Drought,Other,10,2020 To 2022,Drought,Animal Disease,Other,5,2020 To 2022,Kenya,Saku,Resource-Based Conflict,Drought,Other,2,Kenya,Saku,Have Not Found Assistance,Other,Pastoralism,800,Agro Pastoralism,50,Farming,80,Environmental Challenges,Safety And Security,Ethnic Conflicts,Pneumonia,Malaria,No Additional Challenge,1,26,38,25,25,Yes,200,10,Lack Of Basic Services Water Electricity Etc
38,2022-11-25,Marsabit,Marsabit South,Sub Location Village Unit,655,23,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,401,2020 To 2022,Drought,Animal Disease,Banditry,26,Before 2020,Kenya,Marsabit/South,Drought,Resource-Based Conflict,Ethnic Clashes,11,Kenya,Marsabit/South,Wanted Or Needed To Rejoin Family,Other,Pastoralism,601,Trade,35,Employment (Includes Public And Private Sectors),19,Safety And Security,Loss Of Livelihood,Environmental Challenges,Diarrhea,Acute Malnutrition,Pneumonia,4,26,10,75,50,Yes,600,20,Weather
39,2022-11-25,Marsabit,Saku,Sub Location Village Unit,621,36,2020 To 2022,Resource-Based Conflict,Drought,Other,176,2020 To 2022,Banditry,Drought,Lack Of Water And Pasture,0,2020 To 2022,Other,Other,Other,Other,Other,70,Kenya,Saku,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,450,Farming,50,Agro Pastoralism,20,Safety And Security,Ethnic Conflicts,Resource Based Conflict,Malaria,Pneumonia,Injury,2,26,26,25,25,Yes,593,12,Lack Of Basic Services Water Electricity Etc
40,2022-11-25,Marsabit,Sololo,Sub Location Village Unit,504,60,2020 To 2022,Drought,Other,Other,375,2020 To 2022,Drought,Other,Other,5,2020 To 2022,Ethiopia,Other,Drought,Other,Other,20,Kenya,Moyale,Have Not Found Assistance,Other,Pastoralism,460,Trade,20,Employment (Includes Public And Private Sectors),24,Loss Of Livelihood,No Additional Challenge,No Additional Challenge,Diarrhea,No Additional Challenge,No Additional Challenge,1,38,38,75,75,Yes,300,100,Lack Of Security
41,2022-11-25,Marsabit,Sololo,Sub Location Village Unit,650,50,Before 2020,Drought,Other,Other,300,2020 To 2022,Drought,Lack Of Water And Pasture,Other,60,2020 To 2022,Ethiopia,Other,Drought,Resource-Based Conflict,Ethnic Clashes,0,Other,Other,Other,Other,Pastoralism,400,Employment (Includes Public And Private Sectors),150,Trade,40,Environmental Challenges,Lack Of Food And Water,Lack Of Access To Essential Services,Malaria,Pneumonia,Typhoid,1,38,50,25,50,Yes,30,23,Weather
42,2022-11-25,Marsabit,Saku,Sub Location Village Unit,1550,0,2020 To 2022,Other,Other,Other,55,Before 2020,Drought,Animal Disease,Banditry,150,Before 2020,Kenya,Saku,Ethnic Clashes,Drought,Resource-Based Conflict,35,Kenya,North/Horr,Other,Other,Farming,1250,Trade,150,Pastoralism,100,Ethnic Conflicts,Other,Safety And Security,Other,No Additional Challenge,No Additional Challenge,0,26,50,25,50,Yes,900,400,Lack Of Security
43,2022-11-24,Marsabit,Dukana,Sub Location Village Unit,900,20,Before 2020,Drought,Ethnic Clashes,Other,50,Before 2020,Drought,Banditry,Other,0,2020 To 2022,Other,Other,Other,Other,Other,10,Ethiopia,Other,Wanted Or Needed To Rejoin Family,Other,Pastoralism,700,Trade,100,Other,100,Loss Of Livelihood,No Additional Challenge,No Additional Challenge,Malaria,Acute Malnutrition,No Additional Challenge,4,10,10,75,75,No,1800,50,Weather
44,2022-11-25,Marsabit,Loiyangalani,Sub Location Village Unit,459,51,2020 To 2022,Drought,Resource-Based Conflict,Other,32,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,35,2020 To 2022,Kenya,Loiyangalani,Drought,Resource-Based Conflict,Other,20,Kenya,Loiyangalani,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Other,363,Pastoralism,83,Trade,26,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Diarrhea,Pneumonia,2,10,10,75,75,Yes,200,10,Lack Of Basic Services Water Electricity Etc
45,2022-11-25,Marsabit,Loiyangalani,Sub Location Village Unit,668,41,2020 To 2022,Drought,Resource-Based Conflict,Ethnic Clashes,69,2020 To 2022,Drought,Lack Of Water And Pasture,Other,63,2020 To 2022,Kenya,Loiyangalani,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
46,2022-11-24,Marsabit,Marsabit North,Sub Location Village Unit,270,5,2020 To 2022,Other,Other,Other,13,2020 To 2022,Other,Other,Other,9,2020 To 2022,Kenya,North/Horr,Drought,Other,Other,7,Kenya,North/Horr,Wanted Or Needed To Rejoin Family,Other,Pastoralism,260,Trade,6,Employment (Includes Public And Private Sectors),3,Loss Of Livelihood,Lack Of Food And Water,Lack Of Access To Essential Services,Other,No Additional Challenge,No Additional Challenge,1,26,26,50,50,No,14,79,Other
47,2022-11-24,Marsabit,North Horr,Sub Location Village Unit,598,12,2020 To 2022,Drought,Other,Other,150,2020 To 2022,Drought,Banditry,Other,14,2020 To 2022,Kenya,North/Horr,Drought,Other,Other,0,Other,Other,Other,Other,Pastoralism,400,Trade,30,Employment (Includes Public And Private Sectors),100,Environmental Challenges,Ethnic Conflicts,Resource Based Conflict,Malaria,Acute Malnutrition,Amoeba,2,50,50,25,25,Yes,109,7,Weather
48,2022-11-23,Marsabit,Moyale,Sub Location Village Unit,120,23,2020 To 2022,Drought,Resource-Based Conflict,Other,80,2020 To 2022,Lack Of Water And Pasture,Drought,Animal Disease,11,Before 2020,Kenya,Moyale,Drought,Other,Other,26,Kenya,Moyale,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,80,Farming,50,Employment (Includes Public And Private Sectors),5,Lack Of Food And Water,Lack Of Access To Essential Services,Safety And Security,Malaria,Pneumonia,Diarrhea,1,50,50,25,25,Yes,250,15,Weather
49,2022-11-26,Marsabit,Saku,Sub Location Village Unit,520,8,Before 2020,Drought,Ethnic Clashes,Other,30,Before 2020,Drought,Lack Of Water And Pasture,Other,10,Before 2020,Kenya,Saku,Ethnic Clashes,Other,Other,0,Other,Other,Other,Other,Pastoralism,170,Farming,300,Trade,50,Ethnic Conflicts,Lack Of Food And Water,Safety And Security,Malaria,No Additional Challenge,No Additional Challenge,1,10,10,25,25,Yes,200,11,Lack Of Basic Services Water Electricity Etc
50,2022-11-26,Marsabit,Marsabit South,Sub Location Village Unit,486,8,2020 To 2022,Resource-Based Conflict,Other,Other,0,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,412,Trade,30,Employment (Includes Public And Private Sectors),12,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,Pneumonia,Diarrhea,1,38,38,25,50,Yes,150,20,Lack Of Privacy
51,2022-11-26,Marsabit,Sololo,Sub Location Village Unit,782,13,Before 2020,Drought,Resource-Based Conflict,Other,37,Before 2020,Drought,Lack Of Water And Pasture,Other,46,Before 2020,Kenya,Moyale,Drought,Resource-Based Conflict,Other,17,Kenya,Moyale,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,693,Trade,63,Employment (Includes Public And Private Sectors),26,Resource Based Conflict,Lack Of Food And Water,Loss Of Livelihood,Malaria,Diarrhea,Typhoid,1,38,50,0,0,Yes,162,0,Weather
52,2022-11-24,Marsabit,Turbi,Sub Location Village Unit,320,58,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,12,2020 To 2022,Kenya,Turbi,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,157,Other,122,Employment (Includes Public And Private Sectors),13,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Acute Malnutrition,Malaria,Pneumonia,1,26,50,100,75,Yes,697,16,Lack Of Basic Services Water Electricity Etc
53,2022-11-22,Marsabit,Turbi,Sub Location Village Unit,215,5,2020 To 2022,Other,Drought,Other,127,2020 To 2022,Drought,Lack Of Water And Pasture,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Other,162,Pastoralism,28,Employment (Includes Public And Private Sectors),12,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Pneumonia,Typhoid,Acute Malnutrition,0,50,26,100,25,Yes,86,23,Lack Of Basic Services Water Electricity Etc
54,2022-11-26,Marsabit,North Horr,Sub Location Village Unit,350,10,2020 To 2022,Drought,Other,Other,150,2020 To 2022,Drought,Banditry,Other,20,2020 To 2022,Kenya,North/Horr,Drought,Other,Other,5,Kenya,North/Horr,Wanted Or Needed To Rejoin Family,Other,Pastoralism,200,Trade,5,Employment (Includes Public And Private Sectors),20,Environmental Challenges,Loss Of Livelihood,No Additional Challenge,Malaria,Acute Malnutrition,No Additional Challenge,7,26,50,25,25,Yes,262,28,Weather
55,2022-11-28,Marsabit,Marsabit South,Sub Location Village Unit,363,0,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,357,Trade,3,Employment (Includes Public And Private Sectors),3,Environmental Challenges,Lack Of Food And Water,Lack Of Access To Essential Services,Malaria,Pneumonia,Diarrhea,2,50,10,75,50,Yes,150,5,Lack Of Privacy
56,2022-11-26,Marsabit,Sololo,Sub Location Village Unit,346,42,2020 To 2022,Drought,Other,Other,245,2020 To 2022,Drought,Other,Other,208,2020 To 2022,Kenya,Moyale,Drought,Other,Other,56,Kenya,Moyale,Have Not Found Assistance,Other,Pastoralism,31,Trade,20,Employment (Includes Public And Private Sectors),25,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Other,No Additional Challenge,No Additional Challenge,1,10,10,75,50,Yes,12,4,Lack Of Basic Services Water Electricity Etc
57,2022-11-26,Marsabit,Loiyangalani,Sub Location Village Unit,250,30,2020 To 2022,Drought,Other,Other,10,2020 To 2022,Banditry,Drought,Animal Disease,15,2020 To 2022,Kenya,Loiyangalani,Resource-Based Conflict,Other,Other,0,Other,Other,Other,Other,Pastoralism,200,Trade,80,Employment (Includes Public And Private Sectors),20,Safety And Security,Resource Based Conflict,Loss Of Livelihood,Malaria,Pneumonia,No Additional Challenge,0,50,50,75,25,Yes,100,8,Weather
58,2022-11-26,Marsabit,Loiyangalani,Urban Settlement Or Town,450,25,2020 To 2022,Drought,Other,Other,200,2020 To 2022,Animal Disease,Drought,Banditry,20,2020 To 2022,Kenya,Samburu/North,Drought,Other,Other,0,Other,Other,Other,Other,Pastoralism,400,Trade,20,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Diarrhea,No Additional Challenge,1,50,50,25,50,Yes,30,3,Weather
59,2022-11-26,Marsabit,Saku,Sub Location Village Unit,1122,8,2020 To 2022,Drought,Other,Other,100,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,20,2020 To 2022,Kenya,Marsabit/South,Drought,Other,Other,5,Kenya,Saku,Have Not Found Assistance,Other,Pastoralism,800,Trade,150,Farming,100,Environmental Challenges,Ethnic Conflicts,Lack Of Food And Water,Malaria,Pneumonia,No Additional Challenge,1,38,38,50,50,Yes,200,20,Lack Of Basic Services Water Electricity Etc
60,2022-11-27,Marsabit,Marsabit South,Sub Location Village Unit,1970,0,2020 To 2022,Other,Other,Other,10,2020 To 2022,Drought,Banditry,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,1200,Trade,500,Employment (Includes Public And Private Sectors),100,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Pneumonia,Diarrhea,Uti,10,10,10,75,50,Yes,1100,30,Lack Of Privacy
61,2022-11-27,Marsabit,Sololo,Sub Location Village Unit,585,45,2020 To 2022,Drought,Other,Other,180,2020 To 2022,Lack Of Water And Pasture,Drought,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,380,Trade,100,Employment (Includes Public And Private Sectors),70,Resource Based Conflict,Lack Of Food And Water,Safety And Security,Malaria,Diarrhea,Typhoid,2,50,38,25,50,Yes,500,40,Lack Of Basic Services Water Electricity Etc
62,2022-11-24,Marsabit,Moyale,Urban Settlement Or Town,1912,5,2020 To 2022,Resource-Based Conflict,Other,Other,55,2020 To 2022,Drought,Other,Other,20,2020 To 2022,Kenya,Moyale,Resource-Based Conflict,Other,Other,0,Other,Other,Other,Other,Other,715,Trade,510,Employment (Includes Public And Private Sectors),400,Safety And Security,Lack Of Food And Water,No Additional Challenge,Uti,Diarrhea,Typhoid,1,10,10,25,50,Yes,1100,50,Lack Of Basic Services Water Electricity Etc
63,2022-11-26,Marsabit,Marsabit North,Sub Location Village Unit,990,365,Before 2020,Drought,Other,Other,540,Before 2020,Drought,Other,Other,39,2020 To 2022,Kenya,Marsabit/North,Other,Ethnic Clashes,Other,53,Kenya,Marsabit/North,Have Returned With Assistance,Other,Pastoralism,770,Farming,200,Employment (Includes Public And Private Sectors),20,Lack Of Food And Water,Other,Safety And Security,Diarrhea,No Additional Challenge,No Additional Challenge,0,50,50,25,25,Yes,1850,100,Weather
64,2022-11-27,Marsabit,Marsabit North,Sub Location Village Unit,215,0,2020 To 2022,Other,Other,Other,100,2020 To 2022,Drought,Animal Disease,Other,25,2020 To 2022,Kenya,North/Horr,Drought,Other,Other,12,Kenya,Dukana,Wanted Or Needed To Rejoin Family,Other,Pastoralism,200,Farming,10,Trade,5,Other,Safety And Security,Lack Of Food And Water,Diarrhea,No Additional Challenge,No Additional Challenge,0,50,50,100,25,Yes,455,0,Weather
65,2022-11-27,Marsabit,Marsabit North,Sub Location Village Unit,697,70,Before 2020,Ethnic Clashes,Other,Other,50,2020 To 2022,Drought,Other,Other,40,2020 To 2022,Kenya,Dukana,Drought,Other,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,50,Other,47,Lack Of Food And Water,Loss Of Livelihood,Other,Malaria,Pneumonia,Diarrhea,2,50,50,50,50,Yes,0,5,Other
66,2022-11-27,Marsabit,Loiyangalani,Sub Location Village Unit,145,16,2020 To 2022,Drought,Resource-Based Conflict,Ethnic Clashes,0,2020 To 2022,Other,Other,Other,21,2020 To 2022,Kenya,Loiyangalani,Drought,Resource-Based Conflict,Other,17,Kenya,Loiyangalani,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,110,Trade,21,Farming,11,Environmental Challenges,Ethnic Conflicts,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,2,50,50,75,75,Yes,335,15,Lack Of Basic Services Water Electricity Etc
67,2022-11-25,Marsabit,Saku,Sub Location Village Unit,420,20,Before 2020,Resource-Based Conflict,Other,Other,32,Before 2020,Banditry,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,10,Kenya,Loiyangalani,Wanted Or Needed To Rejoin Family,Other,Agro Pastoralism,326,Pastoralism,80,Trade,25,Lack Of Food And Water,Ethnic Conflicts,Resource Based Conflict,Malaria,Acute Malnutrition,No Additional Challenge,4,10,10,75,75,No,55,26,Lack Of Basic Services Water Electricity Etc
68,2022-11-26,Marsabit,Moyale,Sub Location Village Unit,1172,60,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Other,210,2020 To 2022,Drought,Lack Of Water And Pasture,Other,20,2020 To 2022,Kenya,Moyale,Drought,Other,Other,18,Kenya,Moyale,Have Not Found Assistance,Other,Pastoralism,1000,Trade,30,Other,0,Lack Of Food And Water,Environmental Challenges,Loss Of Livelihood,Diarrhea,Malaria,Typhoid,2,50,10,75,75,Yes,450,56,Weather
69,2022-11-27,Marsabit,Moyale,Sub Location Village Unit,1400,12,Before 2020,Drought,Flash Floods Or Seasonal Floods,Other,300,2020 To 2022,Drought,Lack Of Water And Pasture,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,1200,Other,30,Employment (Includes Public And Private Sectors),5,Lack Of Food And Water,Lack Of Access To Essential Services,Loss Of Livelihood,Diarrhea,Pneumonia,Typhoid,1,50,10,100,100,Yes,500,100,Weather
70,2022-11-27,Marsabit,Moyale,Sub Location Village Unit,484,0,2020 To 2022,Other,Other,Other,260,2020 To 2022,Drought,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,480,Other,0,Trade,2,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Diarrhea,Tuberculosis,1,50,10,50,75,Yes,800,100,Weather
71,2022-11-26,Marsabit,Moyale,Urban Settlement Or Town,1141,17,Before 2020,Ethnic Clashes,Other,Other,28,Before 2020,Drought,Lack Of Water And Pasture,Other,39,2020 To 2022,Kenya,Kamukunji,Ethnic Clashes,Other,Other,26,Kenya,Kamukunji,Wanted Or Needed To Rejoin Family,Other,Trade,560,Employment (Includes Public And Private Sectors),320,Pastoralism,460,Lack Of Food And Water,Loss Of Livelihood,Lack Of Access To Essential Services,Acute Malnutrition,Malaria,Pneumonia,1,50,50,25,75,Yes,269,7,Lack Of Basic Services Water Electricity Etc
72,2022-11-29,Marsabit,Saku,Sub Location Village Unit,950,10,2020 To 2022,Ethnic Clashes,Other,Other,30,Before 2020,Drought,Lack Of Water And Pasture,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,430,Farming,320,Trade,150,Ethnic Conflicts,Lack Of Food And Water,Safety And Security,Malaria,Injury,No Additional Challenge,1,50,26,25,25,Yes,1400,420,Lack Of Basic Services Water Electricity Etc
73,2022-11-25,Marsabit,Turbi,Sub Location Village Unit,952,0,2020 To 2022,Other,Other,Other,530,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,15,2020 To 2022,Kenya,Saku,Ethnic Clashes,Other,Other,0,Other,Other,Other,Other,Other,238,Pastoralism,235,Trade,25,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Acute Malnutrition,Pneumonia,0,10,50,100,25,Yes,200,10,Lack Of Basic Services Water Electricity Etc
74,2022-11-28,Marsabit,Marsabit South,Sub Location Village Unit,780,0,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,702,Trade,37,Employment (Includes Public And Private Sectors),29,Environmental Challenges,Safety And Security,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,1,38,38,50,50,Yes,1068,15,Lack Of Privacy
75,2022-11-28,Marsabit,Marsabit South,Sub Location Village Unit,950,750,Before 2020,Drought,Other,Other,400,Before 2020,Drought,Lack Of Water And Pasture,Banditry,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,850,Trade,60,Employment (Includes Public And Private Sectors),40,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Diarrhea,Typhoid,Malaria,1,50,50,25,25,Yes,24,2,Lack Of Basic Services Water Electricity Etc
76,2022-11-28,Marsabit,Marsabit South,Sub Location Village Unit,864,400,Before 2020,Drought,Other,Other,300,Before 2020,Animal Disease,Drought,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,800,Trade,30,Employment (Includes Public And Private Sectors),34,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Diarrhea,Pneumonia,Typhoid,3,50,50,25,25,Yes,430,20,Lack Of Basic Services Water Electricity Etc
77,2022-11-23,Marsabit,Moyale,Sub Location Village Unit,100,6,2020 To 2022,Drought,Other,Other,20,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,50,2020 To 2022,Kenya,Wajir/East,Drought,Other,Other,0,Other,Other,Other,Other,Pastoralism,50,Trade,10,Agro Pastoralism,10,Safety And Security,Environmental Challenges,Lack Of Food And Water,Pneumonia,Malaria,Diarrhea,1,50,50,25,25,Yes,398,10,Weather
78,2022-11-28,Marsabit,Marsabit South,Sub Location Village Unit,240,40,Before 2020,Drought,Resource-Based Conflict,Ethnic Clashes,114,2020 To 2022,Drought,Animal Disease,Banditry,14,Before 2020,Kenya,Marsabit/South,Drought,Ethnic Clashes,Resource-Based Conflict,13,Kenya,Marsabit/South,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,234,Trade,3,Employment (Includes Public And Private Sectors),3,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Diarrhea,Acute Malnutrition,2,38,50,75,75,No,50,0,Lack Of Security
79,2022-11-28,Marsabit,Dukana,Sub Location Village Unit,700,0,2020 To 2022,Other,Other,Other,350,2020 To 2022,Drought,Other,Other,0,2020 To 2022,Other,Other,Other,Other,Other,50,Kenya,North/Horr,Wanted Or Needed To Rejoin Family,Other,Pastoralism,500,Trade,100,Other,100,Environmental Challenges,Resource Based Conflict,No Additional Challenge,Malaria,Pneumonia,Typhoid,2,50,50,50,50,Yes,451,11,Weather
80,2022-11-28,Marsabit,Marsabit South,Sub Location Village Unit,464,100,2020 To 2022,Drought,Other,Other,10,2020 To 2022,Drought,Lack Of Water And Pasture,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,400,Trade,64,Other,400,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Pneumonia,Diarrhea,0,50,50,50,50,Yes,250,10,Lack Of Privacy
81,2022-11-28,Marsabit,Sololo,Sub Location Village Unit,392,36,2020 To 2022,Drought,Other,Other,334,2020 To 2022,Drought,Other,Other,42,2020 To 2022,Kenya,Moyale,Drought,Other,Other,12,Kenya,Moyale,Have Not Found Assistance,Other,Pastoralism,365,Trade,6,Employment (Includes Public And Private Sectors),21,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Malaria,No Additional Challenge,No Additional Challenge,1,10,10,50,50,Yes,150,30,Lack Of Privacy
82,2022-11-26,Marsabit,Loiyangalani,Sub Location Village Unit,500,15,2020 To 2022,Drought,Other,Other,5,2020 To 2022,Drought,Animal Disease,Banditry,5,2020 To 2022,Kenya,Mathare,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,500,Trade,300,Employment (Includes Public And Private Sectors),20,Environmental Challenges,Safety And Security,Ethnic Conflicts,Malaria,Diarrhea,Pneumonia,1,50,26,25,25,Yes,410,6,Weather
83,2022-11-27,Marsabit,Marsabit South,Sub Location Village Unit,1900,0,2020 To 2022,Other,Other,Other,50,2020 To 2022,Drought,Lack Of Water And Pasture,Other,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,1850,Trade,50,Other,0,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Pneumonia,Diarrhea,2,50,50,50,50,Yes,400,10,Lack Of Privacy
84,2022-11-25,Marsabit,North Horr,Sub Location Village Unit,546,20,2020 To 2022,Ethnic Clashes,Other,Other,250,2020 To 2022,Drought,Banditry,Other,5,2020 To 2022,Kenya,North/Horr,Drought,Other,Other,6,Kenya,North/Horr,Wanted Or Needed To Rejoin Family,Other,Pastoralism,400,Trade,15,Employment (Includes Public And Private Sectors),10,Environmental Challenges,Ethnic Conflicts,Loss Of Livelihood,Malaria,Acute Malnutrition,Amoeba,1,50,50,25,25,Yes,150,20,Weather
85,2022-11-22,Marsabit,Turbi,Sub Location Village Unit,190,1,Before 2020,Other,Other,Other,55,2020 To 2022,Banditry,Drought,Lack Of Water And Pasture,3,2020 To 2022,Kenya,Saku,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,112,Other,68,Employment (Includes Public And Private Sectors),9,Safety And Security,Ethnic Conflicts,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,0,50,50,100,50,Yes,250,5,Lack Of Privacy
86,2022-11-28,Marsabit,Loiyangalani,Sub Location Village Unit,500,100,2020 To 2022,Drought,Resource-Based Conflict,Ethnic Clashes,50,2020 To 2022,Lack Of Water And Pasture,Animal Disease,Drought,0,2020 To 2022,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,300,Trade,50,Employment (Includes Public And Private Sectors),50,Safety And Security,Resource Based Conflict,Ethnic Conflicts,Diarrhea,Amoeba,No Additional Challenge,2,50,50,100,100,Yes,88,17,Lack Of Security
87,2022-11-28,Marsabit,Saku,Sub Location Village Unit,410,80,2020 To 2022,Ethnic Clashes,Drought,Other,40,2020 To 2022,Drought,Lack Of Water And Pasture,Banditry,10,2020 To 2022,Kenya,Saku,Ethnic Clashes,Drought,Other,35,Kenya,Saku,Have Not Found Assistance,Have Returned With Assistance,Pastoralism,200,Other,100,Trade,40,Ethnic Conflicts,Lack Of Food And Water,Safety And Security,Malaria,Pneumonia,Acute Malnutrition,1,26,26,25,50,Yes,139,50,Lack Of Privacy
88,2022-12-01,Marsabit,Sololo,Sub Location Village Unit,1150,35,Before 2020,Drought,Ethnic Clashes,Other,485,2020 To 2022,Drought,Animal Disease,Lack Of Water And Pasture,42,2020 To 2022,Ethiopia,Other,Drought,Ethnic Clashes,Other,135,Ethiopia,Other,Have Not Found Assistance,Wanted Or Needed To Rejoin Family,Pastoralism,485,Farming,216,Trade,45,Environmental Challenges,No Additional Challenge,No Additional Challenge,Malaria,Pneumonia,Diarrhea,3,26,26,75,50,Yes,500,30,Lack Of Basic Services Water Electricity Etc
